,cast_id,name
37,97015,Adam Driver
32,1553,Adam Sandler
81,263,Anthony Hopkins
89,3478,Arnold Schwarzenegger
97,2636,Ben Affleck
36,1554,Ben Stiller
91,65646,Benedict Cumberbatch
24,40784,Benedict Wong
61,3262,Bill Murray
78,603,Brad Pitt
51,39087,Bradley Cooper
45,387,Bruce Willis
87,4930,Cameron Diaz
14,3596,Carrie Fisher
17,84042,Chadwick Boseman
53,67113,Channing Tatum
29,41244,Chris Evans
71,89392,Chris Hemsworth
54,74966,Chris Pratt
30,911,Christian Bale
8,1570,Clint Eastwood
11,142758,Daisy Ridley
47,83537,Danai Gurira
5,36746,Daniel Radcliffe
63,113266,Dave Bautista
9,2380,Denzel Washington
92,2406,Don Cheadle
2,4011,Dustin Hoffman
80,30572,Dwayne Johnson
18,1419,Eddie Murphy
66,108968,Elizabeth Olsen
96,40732,Emma Watson
72,4324,Ewan McGregor
48,1118,George Clooney
21,862,Gwyneth Paltrow
41,131,Harrison Ford
98,33787,Hugh Jackman
67,776,Ian McKellen
55,50188,Idris Elba
76,705,Jack Black
79,85816,Jennifer Lawrence
43,4374,Jeremy Renner
50,406,Jim Carrey
7,105389,John Boyega
52,435,John Travolta
83,1395,Johnny Depp
68,1197,Josh Brolin
38,83257,Josh Gad
73,1410,Julia Roberts
35,124718,Karen Gillan
23,2495,Keanu Reeves
16,2959,Kevin Costner
82,52125,Kevin Hart
15,32143,Kristen Stewart
56,2129,Leonardo DiCaprio
27,120321,Letitia Wright
25,1735,Liam Neeson
64,125439,Lupita Nyong'o
40,3595,Mark Hamill
74,21563,Mark Ruffalo
13,2132,Mark Wahlberg
12,5853,Matt Damon
46,3071,Matthew McConaughey
33,907,Mel Gibson
95,1569,Meryl Streep
49,221,Michael Douglas
0,6688,Mike Myers
3,861,Morgan Freeman
1,76,Natalie Portman
70,484,Nicolas Cage
90,23655,Orlando Bloom
69,1527,Owen Wilson
57,18024,Paul Bettany
20,757,Paul Rudd
42,112313,Pom Klementieff
93,5168,Reese Witherspoon
34,69,Robert De Niro
4,59598,Robert Pattinson
28,13,Robin Williams
94,40731,Rupert Grint
10,22848,Ryan Reynolds
26,2414,Samuel L. Jackson
31,1057,Sandra Bullock
6,1792,Scarlett Johansson
59,64020,Sebastian Stan
77,40632,Seth Rogen
65,48760,Shia LaBeouf
22,49163,Steve Carell
85,56,Steve Martin
88,464,Sylvester Stallone
19,1,Tim Allen
58,3455,Tom Cruise
39,0,Tom Hanks
62,65124,Tom Hiddleston
84,27210,Tom Holland
60,20866,Vin Diesel
86,16772,Will Ferrell
75,2101,Will Smith
44,32368,Zoe Saldana
